name
Jonathan Lethem
Zora Neale Hurston
Walt Whitman
Lynne Truss
Richard Matheson
Arundhati Roy
Eugene H. Peterson
Dietrich Bonhoeffer
Brian W. Aldiss
Donald J. Sobol
Michael Cunningham
Jane Smiley
Winston S. Churchill
Ellen Datlow
Nevada Barr
Mem Fox
John Kennedy Toole
Greg Iles
Anaïs Nin
Kay Hooper
Trudi Canavan
Heather Graham
Donald E. Westlake
V. S. Naipaul
Seanan McGuire
William Strunk
James Fenimore Cooper
Don Freeman
Gail Carriger
Max Brooks
Pat Conroy
Rosemary Wells
Fritz Leiber
Henrik Ibsen
Erich Maria Remarque
Kahlil Gibran
Edward Gorey
Chaim Potok
Norman Mailer
Robert McCloskey
Patricia Reilly Giff
E. L. James
Lee Strobel
John Calvin
John Gardner
Patricia MacLachlan
Tove Jansson
Tim O'Brien
Dan Gutman
Fannie Flagg
Christina Dodd
Garrison Keillor
P. D. Eastman
Irvine Welsh
Jean Fritz
Jack Prelutsky
F. F. Bruce
Melissa De la Cruz
Diane Mott Davidson
Nikolai Gogol
Jane O'Connor
Tana French
Anna Quindlen
Susan Mallery
Walter Mosley
Howard Zinn
Rick Warren
Alain de Botton
Chris Van Allsburg
Patrick Süskind
Tedd Arnold
Alyssa Satin Capucilli
Lisa Jackson
Stephen Fry
E. Nesbit
Robert M. Pirsig
Zondervan
Val McDermid
Jane Green
Angela Carter
Sara Paretsky
A. W. Tozer
Jim Davis
Francis A. Schaeffer
Lori Wick
Nalini Singh
Vernor Vinge
William Makepeace Thackeray
Michael A. Stackpole
Russell Hoban
Simone de Beauvoir
Stephen Crane
Fred Saberhagen
Jacqueline Winspear
James Blish
Barbara Ehrenreich
Kim Edwards
Juliet Marillier
Bob Woodward
Barack Obama
Günter Grass
Caroline B. Cooney
Tsugumi Ohba
Lynne Reid Banks
John Brunner
Sun Tzu
Kresley Cole
Alan Bradley
Eric Flint
Anthony Bourdain
Edward Rutherfurd
Sunset Books
John Saul
Bruce Coville
Seymour Simon
Gardner Dozois
Len Deighton
Ellen Hopkins
Emily Dickinson
Kate Morton
Primo Levi
Sebastian Faulks
Antonia Fraser
Angie Sage
Melissa Marr
Shirley Jackson
David Guterson
Ben M. Baglio
Cory Doctorow
Roberto Bolaño
Richard Peck
Jean-Jacques Rousseau
Ovid
Barbara Delinsky
Roger Hargreaves
Guy de Maupassant
Billy Graham
Jude Watson
Joe Abercrombie
Lauren Weisberger
J. M. Barrie
Lois Ehlert
Diane Setterfield
Roddy Doyle
Terrance Dicks
Clifford D. Simak
Pam Muñoz Ryan
Emily Giffin
Scott Turow
William Steig
